,Ref,Address,Description,DecDate,Link,RefusalReasons,DevType,docfragment,file_ext,filename,Decision,FromSearch,ToSearch,AppTypeFrag,Dev_Type
879,PA20/06709,Land Known As Simons Yard Harrowbarrow Cornwall,Outline application for the residential development of upto 4 dwellings with all matters reserved.,2020-08-13,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=QEU9AFFG0E800&activeTab=summary," 1 The proposed application site, by reason of its location outside of the clearly defined built form of Harrowbarrow, is considered to fall within  the open countryside. The proposal does not represent infill, rounding-off or make use of previously developed land within or immediately adjoining the settlement, and would visually  extend  the built form into the countryside, eroding the character  and appearance  of the rural setting. The proposal also has the potential to detrimentally impact and urbanise  this section  of the World Heritage Site and has not been accompanied by a Heritage  Assessment. In the absence of any special circumstances to justify  it, or detailed information to confirm the site as an affordable housing led rural exception  site under policy 9, the proposal represents an unsustainable  and sporadic form of development in the countryside and, in the absence  of any other material considerations which outweigh such harm, the proposal is contrary  to Policies 1, 3, 7, 9, 23 and 24 of the Cornwall Local Plan Strategic  Policies 2010 - 2030 (November  2016). 2 The application has failed to demonstrate safe and suitable  access  to the site is achievable, with particular  regards to visibility and gradients, contrary  to the requirements of Policy  27 of the Cornwall Local Plan Strategic  Policies  2010-2030 (adopted November 2-16)  and paragraphs 108 - 110 of the National Planning Policy Framework 2019.",,REFUSAL,pdf,PA20_06709-REOUTZ_-_REFUSAL_NOTICE-5265391.pdf,Refused,2020-10-01,2020-12-31,,Minor - Dwelling
880,PA20/06748,Land North Of Cobblers Cottage St Tudy Bodmin Cornwall PL30 3PX,A single low-carbon self/custom build dwelling.,2020-08-10,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=QEW6E7FG1OU00&activeTab=summary," 1 The application site is divorced from the settlement with poor accessibility to necessary daily services  and facilities which would perpetuate over reliance on the private vehicle  and unsustainable traffic movements. Furthermore, a dwelling  in this location would  introduce a new dwelling  into this part of the countryside which would be harmful to the distinctive rural character  of the area. In the absence of any special circumstances  to justify residential  development in this rural location, the proposal is not sustainable development and is contrary  to Policies 1, 2,3, 7, 21 and 23 of the Cornwall Local Plan Strategic Policies 2010-2030 and paragraphs 91 102, 110, 127, 148, 150 and 170 of the National Planning Policy Framework.",,REFUSAL,pdf,PA20_06748-REFULZ_-_REFUSAL_NOTICE-5353593.pdf,Refused,2020-10-01,2020-12-31,,Minor - Dwelling
881,PA20/06626,12 East Close Helston TR13 8LG,Construction of a single detached single storey self-build infill dwelling and formation of a new vehicle access onto highway.,2020-08-06,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=QENF9SFGJAT00&activeTab=summary," 1 By reason of its layout and design which would  fail to respond positively to the local character and distinctiveness in this location, coupled with its close relationship in relation to neighbouring  residential development,  the proposal is considered to constitute  a poor quality form of development which would fail to take the opportunity for improving the character  and quality  of the surrounding  area and the way it functions. The proposal would therefore  conflict with the aims and intentions  of policies 1, 2 and 12 of the Cornwall Local Plan Strategic  Policies 2010 - 2030; paragraphs 127 and 130 of the National  Planning Policy Framework 2018; and guidance  provided in section  7 of the Cornwall Design Guide. 2 By reason of its proposed  parking layout being located in close proximity to the dwelling of 12 East Close,  the proposed development is considered to unacceptably harm the outlook from, this neighbouring dwelling. The proposal is therefore considered to conflict with the aims and intentions  of Policy 12 of the Cornwall Local Plan Strategic Policies  2010 - 2030;  and paragraph 127 of the National Planning Policy Framework 2018.",,REFUSAL,pdf,PA20_06626-REFULZ_-_REFUSAL_NOTICE-5224813.pdf,Refused,2020-10-01,2020-12-31,,Minor - Dwelling
882,PA20/06529,Land West Of Field Of Birds School Lane Gulval Cornwall TR18 3BG,Erection of a house and garage and associated access works,2020-08-19,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=QEJKA4FGGR800&activeTab=summary," 1 By reason of substantially  extending beyond any land which could potentially be described as 'previously developed' into undeveloped land at the edge of the village of Gulval, the proposal is not considered to constitute  the development of previously developed land at the edge of the settlement; rather, it is considered to physically and visually extend  development  into the open countryside without  any special  justification. The proposal is therefore considered to conflict with the aims and intentions  of policies 3(1) and 7 of the Cornwall  Local Plan Strategic  Policies 2010 - 2030, and Policy  1 of the Cornwall Site Allocations Development Plan Document. 2 Owing to the large scale, height and massing  of the proposed  dwelling; its siting  on rising  ground near the highest point of the site; and the proposed works  to the access which would in turn open up views of the dwelling, access driveway and surrounding domestic  curtilage  from the public  highway, it is considered that the proposal would be inappropriate in design and layout and would unacceptably harm the distinctly rural/agricultural  character at the edge of the settlement. The proposal is therefore considered to fail to demonstrate  a clear understanding and response to its landscape setting, in conflict with the aims and intentions of policies 1, 2, 12 and 23 of the Cornwall Local Plan Strategic  Policies 2010 - 2030, and paragraphs 8, 127 and 170 of the National Planning Policy Framework 2019.",,REFUSAL,pdf,PA20_06529-REFULZ_-_REFUSAL_NOTICE-5314488.pdf,Refused,2020-10-01,2020-12-31,,Minor - Dwelling
883,PA20/06498,Land At Candron Water Gweek Helston Cornwall TR12 6TX,Application for Temporary retention of container at location on Land at Candon Water for 3 years which is used to store domestic goods.,2020-11-10,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=QEHV91FGFO500&activeTab=summary," 1 The proposal is located  outside  of any defined  settlement,  such that it is located within the open countryside. It is considered that the proposal would not maintain the character of the area within  an Area of Great  Landscape Value  due to the proposed container with its domestic use introducing  development which  would be harmful to the character  of the area. The development is therefore  contrary to policies 1, 2, 12 and 23 of the Cornwall Local Plan Strategic Policies 2010 - 2030 and paragraphs 8, 127 and 170 of the National Planning Policy  Framework 2019.",,REFUSAL,pdf,PA20_06498-REFULZ_-_REFUSAL_NOTICE-5385458.pdf,Refused,2020-10-01,2020-12-31,,Minor - Dwelling
884,PA20/06471,Willow Court Mornick Callington Cornwall PL17 7LU,"Outline application for the construction of a dwelling-house, garage and amenity with all matters reserved",2020-08-14,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=QEH62LFGMV600&activeTab=summary," 1 The proposed dwelling,  by reason of its location outside of any land considered to form the settlement of Mornick, does not represent infill, rounding-off or make use of previously developed land within or immediately adjoining  the settlement, and would visually extend the built form into the countryside, eroding  the character and appearance of the rural setting. In the absence of any special  circumstances to justify  it, the proposal represents an unsustainable and sporadic form of development  in the countryside  and, in the absence of any other material considerations  which  outweigh such harm, the proposal is contrary to Policies 1, 3, 7 and 23 of the Cornwall Local Plan Strategic Policies 2010 - 2030 (November 2016) and policy H1 of the South Hill Parish Neighbourhood Development Plan 2016 - 2030 (adopted February 2018).",,REFUSAL,pdf,PA20_06471-REOUTZ_-_REFUSAL_NOTICE-5295129.pdf,Refused,2020-10-01,2020-12-31,,Minor - Dwelling
885,PA20/06447,Seaview Holiday Village Polperro Road West Looe Looe Cornwall PL13 2JE,"Extension and improvements to Seaview Holiday Village caravan park, comprising use of land for the siting of 15 no. additional lodges/caravans (static caravans) for holiday use; access and parking, landscape planting and associated infrastructure.",2020-07-31,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=QECB7UFGKP000&activeTab=summary," 1 The proposal, by reason of its loss to development of approx. 0.67ha of grassed field and the introduction of a further 15 static  caravan pitches onto prominent sloping land which  is visible from public viewpoints would  fail to conserve and enhance the landscape character and natural beauty of the South Coast  Eastern  section of the Cornwall Area of Outstanding Natural  Beauty.  As such it would conflict with Policies  3(4) and 23 of the Cornwall  Local Plan 2016; Policies 1 and 9 of the Polperro  & Lansallos  Neighbourhood Development Plan 2017-2030;  and paragraphs  170 and 172 of the National  Planning Policy Framework 2019.",,REFUSAL,pdf,PA20_06447-REFULZ_-_REFUSAL_NOTICE-5337579.pdf,Refused,2020-10-01,2020-12-31,,
886,PA20/06248,5 Tyringham Place Tyringham Road Lelant St Ives Cornwall TR26 3LH,Outline application with all matters reserved for replacement of existing self contained annexe and creation of a new dwelling - resubmission of PA19/08227,2020-08-07,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=QE4D3TFG0JQ00&activeTab=summary," 1 The large rear gardens to the rear of Tyringham Place form an important part of the Conservation Area and are recognised  as being  part of the older properties within the settlement of Lelant and within the Historic Core Boundary  as identified in the St Ives Neighbourhood  Development Plan.  There are a number  of rear gardens of similar  lengths and widths along the terrace. The addition of further fencing, parking  spaces  and additional domestic  paraphernalia  associated with the separate residential  unit proposed  would  result  in two smaller plots with very formal separation  which would substantially alter the grain of the long rear gardens seen along  Tyringham  Place and is considered  to harm the character  and appearance of the Conservation Area which would not be outweighed by the limited benefits of the proposal,  contrary to the aims and intentions of policies 1, 2, 12 and 24 of the Cornwall Local Plan Strategic Policies 2010 - 2030 (adopted  November 2016), the National Planning Policy  Framework 2019 as a whole, in particular Section 16, Section 72(1) of the Planning (Listed  Buildings and Conservation Areas) Act 1990 and policies BE13(a) and BE17 of the St Ives Neighbourhood Development  Plan 2015-2030.",,REFUSAL,pdf,PA20_06248-REOUTZ_-_REFUSAL_NOTICE-5222243.pdf,Refused,2020-10-01,2020-12-31,,Minor - Dwelling
887,PA20/05962,3 Warwick Close St Merryn Padstow Cornwall PL28 8LH,Loft extension,2020-10-05,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=QDLORCFGKM300&activeTab=summary," 1 By reason of its excessive scale, discordant architectural form and unbalancing  of the uniformity experienced  within Warwick Close,  the proposal  is incongruous in relation to the host property  and causes unacceptable harm to the character and appearance of the wider street scene. The development fails to represent good design and conflicts with policies   2, and 12 of the Cornwall  Local Plan Strategic  Policies 2010 - 2030 and paragraphs 8, 127 and 130 of the National Planning Policy Framework 2019. 2 The proposed development, through its scale, form and massing  and proximity to the neighbouring properties  3 and 11 Parc Eglos  shall incur an unreasonable  impact upon living  accommodation for 3 and 11 Parc Eglos  through  over-bearing  impact resulting in such a significant increase in both height and massing  in close proximity to those properties which are already  restricted in both the size and quality of their outdoor  amenity space.  This is contrary Policy 12 Part 2(B) of the Cornwall Local Plan 2010-2030, and paragraph 127 of the National Planning Policy Framework 2019.",,REFUSAL,pdf,PA20_05962-REFULZ_-_REFUSAL_NOTICE-5339041.pdf,Refused,2020-10-01,2020-12-31,,Householder
888,PA20/05990,Little Monkeys Nursery School At Wringford Down Hotel Hatt Lane Cawsand Torpoint Cornwall PL10 1LE,Proposed conversion of storage space in roof to managers flat. Construction of balcony and external staircase.,2020-10-14,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=QDM65MFG1VZ00&activeTab=summary," 1 The proposal, in seeking the creation of a new dwelling  without special justification in an isolated rural location outside  of any clearly defined settlement  would fail to accord  with the Council's  strategy for the delivery of housing. As such would be an unsustainable form of development,  in conflict  with Policies 3 and 7 of the Cornwall Local Plan 2016 and paragraph 79 of the National Planning Policy Framework 2019.",,REFUSAL,pdf,PA20_05990-REFULZ_-_REFUSAL_NOTICE-5352381.pdf,Refused,2020-10-01,2020-12-31,,Minor - Dwelling
889,PA20/05654,The Old Vicarage St Clement Truro Cornwall TR1 1SZ,Change of use of store to unit of accommodation ancillary to the use of The Old Vicarage without compliance of condition 3 in respect of application PA15/02826 dated 01.10.2015,2020-09-08,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=QD5ASOFG0GE00&activeTab=summary," 1 The development  would fail to ensure adequate  residential  amenities for the future occupiers of the subject building  and the main property known  as ""The Old Vicarage"". The subject building  is inappropriate  for independent occupation due to the physical relationship between  the ancillary accommodation  and the main dwelling, which would create inadequate levels of residential amenity (noting the overbearing relationship and lack of separate parking  and private  amenity space) for the occupiers of both. The development therefore fails to accord with policy 12 of the Cornwall Local Plan Strategic Policies  2010 - 2030 and paragraph  127 of the National Planning Policy  Framework 2019.",,REFUSAL,pdf,PA20_05654-RESECZ_-_REFUSAL_NOTICE-5286096.pdf,Refused,2020-10-01,2020-12-31,,Minor - Dwelling
890,PA20/05546,Residential Curtilage (Large Side Garden) To Carloggas Farm Band House Lane Stenalees St Austell Cornwall PL26 8TE,Permission in principle for residential development (minimum 2 dwellings / maximum 4 dwellings),2020-07-17,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=QD1HZ9FG1ST00&activeTab=summary," 1 The proposed development would represent unjustified housing  in the countryside which would not relate well to an existing settlement, would not be considered as previously developed land, and would harm the character  of the open countryside. The proposal would not represent infill or rounding off, does not fall within the special circumstances listed  within  policy 7, and would  increase  building density which  would be out of character with the surrounding area which would have a detrimental  impact upon the intrinsic rural character  of the area. The proposal therefore would  be contrary to policies  3, 7 and 21 of the Cornwall Local Plan.",,REFUSAL,pdf,PA20_05546-REPIP_-_REFUSAL_NOTICE-5222222.pdf,Refused,2020-10-01,2020-12-31,,Minor - Dwelling - PIP apps only
891,PA20/05332,Whitehall Farm Wilcove Lane Wilcove Torpoint Cornwall PL11 2PQ,Construction of new dwelling and conversion of existing barn to garage/play/study area. (Demolition of existing buildings).,2020-07-21,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=QCQ94FFG1OU00&activeTab=summary," 1 The proposed dwelling,  by reason of its location detached  from the clearly  defined built form of Wilcove, does not round  off or make use of previously developed land within or immediately adjoining  the settlement, and visually extends the built form into the countryside, eroding the character  and appearance of the rural and coastal setting. In the absence of any special circumstances to justify  it, the proposal represents an unsustainable and sporadic form of development  in the countryside  and, in the absence of any other material considerations  which  outweigh such harm, the proposal is contrary to Policies 1, 3, 7 and 23 of the Cornwall Local Plan Strategic Policies 2010 - 2030 (November 2016) and policy 5 of the Rame Peninsula Neighbourhood Development Plan 2017-2030 (Adopted  21st June 2017).",,REFUSAL,pdf,PA20_05332-REFULZ_-_REFUSAL_NOTICE-5295153.pdf,Refused,2020-10-01,2020-12-31,,Minor - Dwelling
892,PA20/05332,Whitehall Farm Wilcove Lane Wilcove Torpoint Cornwall PL11 2PQ,Construction of new dwelling and conversion of existing barn to garage/play/study area. (Demolition of existing buildings).,2020-07-21,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=QCQ94FFG1OU00&activeTab=summary," 1 The proposed dwelling,  by reason of its location detached  from the clearly  defined built form of Wilcove, does not round  off or make use of previously developed land within or immediately adjoining  the settlement, and visually extends the built form into the countryside, eroding the character  and appearance of the rural and coastal setting. In the absence of any special circumstances to justify  it, the proposal represents an unsustainable and sporadic form of development  in the countryside  and, in the absence of any other material considerations  which  outweigh such harm, the proposal is contrary to Policies 1, 3, 7 and 23 of the Cornwall Local Plan Strategic Policies 2010 - 2030 (November 2016) and policy 5 of the Rame Peninsula Neighbourhood Development Plan 2017-2030 (Adopted  21st June 2017).",,REFUSAL,pdf,PA20_05332-REFULZ_-_REFUSAL_NOTICE-5295153.pdf,Refused,2020-10-01,2020-12-31,,Minor - Dwelling
893,PA20/04931,Fawen Lerryn Lostwithiel Cornwall PL22 0ND,"To erect a Poly tunnel and glasshouses for growing of food produce and cut flowers, and for the harden of the existing gate entrance into the field for vehicular access and installation of drainage.",2020-08-26,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=QC24R6FGHKT00&activeTab=summary," 1 The proposal introduces an uncharacteristic form of development within  a sensitive location, forming part of an Area of Outstanding Natural  Beauty. In the absence of any overriding economic or social benefit, the harmful  impact anticipated upon the character of the AONB results  in the proposal  being considered an unsustainable form of development,  conflicting  with the aims and intentions of Policy 1,2 and 23 of the Cornwall  Local Plan Strategic Policies 2010-2030 and Paragraph 172 of the National Planning  Policy Framework 2019.",,REFUSAL,pdf,PA20_04931-REFULZ_-_REFUSAL_NOTICE-5280804.pdf,Refused,2020-10-01,2020-12-31,,
894,PA20/04944,Garages Rear Of 6 Trenoweth Crescent Penzance Cornwall TR18 4RY,Outline planning permission with some matters reserved: Single storey one bedroom dwelling (resubmission of PA19/06706) - Access,2020-09-15,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=QC2ASGFG1VO00&activeTab=summary," 1 The introduction of a new residential  unit within the curtilage of the dwelling known as no.6 Trenoweth Crescent  would  result in a cramped and contrived form of development that would appear out of keeping with the existing strong building lines in the surrounding area. The surrounding terraced dwellings with good sized front and rear gardens are an important  part of the character  of the area. The provision of a dwelling within this plot, together with the existing property and remaining curtilage to serve  it, would  result in two properties which would be at odds with the established character  and appearance of the area and would fail to respect its form and traditional pattern of development. The proposal is therefore considered to be harmful  to the character  and appearance  of the area and contrary  to Policies 1, 2 and 12 of the Cornwall Local Plan Strategic Policies 2010-2030 and paragraphs  8 and 127 of the National Planning Policy Framework 2019. 2 Due to the size of the plot, it is not considered an appropriate  site for residential development and would result  in a poor residential  environment for future occupants with a poor standard of amenity. The standard  of living space and amenity space  that could  be provided within  this constricted site would  not comply with the aims and intentions set out within local and national  planning policy. The proposed development conflicts with Policy 12 of the Cornwall Local Plan 2010-2030 and paragraph 127 of the National  Planning Policy Framework  2019.",,REFUSAL,pdf,PA20_04944-REOUTZ_-_REFUSAL_NOTICE-5294528.pdf,Refused,2020-10-01,2020-12-31,,Minor - Dwelling
895,PA20/04347,75 Trelowarren Street Camborne TR14 8AL,"Construction of ground floor flat, upper floor maisonette and associated landscaping",2020-06-16,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=QB1PS9FGLWQ00&activeTab=summary," 1 A dwelling at this location would fail to respond positively to the local character  and historic  distinctiveness in this location, the proposal is considered to constitute a poor quality  form of development  which would fail to take the opportunity for improving the character  and quality  of the surrounding area and the way it functions. The proposal would disrupt the historic legibility of the site and would therefore fail to preserve the character and special interest of the World Heritage Site and Conservation Area, leading to harm which would  not be outweighed by the public benefit. The proposal would therefore  conflict  with the aims and intentions  of policies 1, 2 and 12 and 24 of the Cornwall  Local Plan Strategic Policies 2010 - 2030; paragraphs 127, 130, 190 and 192 of the National Planning Policy Framework 2019; Section 72 of the Planning (Listed Buildings and Conservation  Areas) Act 1990; and guidance provided in section 7 of the Cornwall  Design Guide. 2 The proposal, by reason of its design and mass together with its proximity to the occupiers of adjoining neighbouring  dwellings, leads to an overbearing and overlooking impact  which constitutes a poor quality form of development, being  detrimental to residential amenities  which would  be contrary to the aims and intentions of policies  1, 2, 12 and 13 of the Cornwall Local Plan Strategic Policies 2010 - 2030 and paragraph 127 of the National  Planning Policy Framework 2019. 3 In the absence of sufficient technical  information  to support  the application where there  is considered to represent flooding concerns,  it has not been demonstrated that the proposal would minimise,  reduce or where possible eliminate flood risk on site and in the area. The proposal  is therefore  considered to conflict  with the aims and intentions of policy 26 of the Cornwall Local Plan Strategic Policies 2010 - 2030; and paragraphs 118 (b) and 149 of the National Planning Policy Framework (2019)",,REFUSAL,pdf,PA20_04347-REFULZ_-_REFUSAL_NOTICE-5351132.pdf,Refused,2020-10-01,2020-12-31,,Minor - Dwelling
896,PA20/04284,8 Cobbs Well Fowey PL23 1BP,Construction of two storey extension to side of existing dwelling,2020-06-04,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=QAY61UFGJNA00&activeTab=summary," 1 The proposed extension due to the eave height being the same  as the host property, the proportions,  loss of gap between no.8 and no.7 and the prospective  awkward visual relationship between the roof of no. 7 and the proposed  extension would cause harm to the character and appearance of the conservation  area. It is not considered  that this less than substantial  harm has been justified against the public benefits and as such is contrary to the intentions of Paragraph  196 of the National Planning Policy Framework 2019, Policy 24 Cornwall Local Plan 2016 and Policy 2 & 8 of the Fowey Neighbourhood Development  Plan.",,REFUSAL,pdf,PA20_04284-REFULZ_-_REFUSAL_NOTICE-5376908.pdf,Refused,2020-10-01,2020-12-31,,Householder
897,PA20/04177,Land North East Of Tregarrick Ox Lane St Mawgan Cornwall TR8 4EU,Outline application (with all matters reserved) for construction of up to 5 affordable dwellings,2020-05-21,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=QAOLGXFGM4Q00&activeTab=summary," 1 The submitted development for 5 new homes is assessed to be detached from the main settlement of St Mawgan  and to be an isolated and prominent location.  The development  is assessed to cause significant  landscape harm within  the wider landscape setting. Notwithstanding  the absence of details  to demonstrate means of vehicular and pedestrian  access to serve  the site, due to the location of the site and proximity to Ox Lane, a means  of access including  visibility splays  would result  in loss of hedgebank creating significant  harm to the landscape and historic characteristics of the western boundary, and the line of trees therein. Also, the lack of any established natural barrier around  the northern, southern and eastern boundaries of this red edged  site, is assessed to cause significant harm conflicting with the character  of the Area of Great Landscape  Value  due to the open nature of the existing  field in the wider context and associated harm that the proposed introduction  of 5 new homes onto this field would have to the distinctive natural  beauty  and character of the area.  As such the development is assessed to conflict with Policies 1, 2, 2a, 3, 7, 9 and 23 of the Cornwall Local Plan Strategic Policies 2010 - 2030 and saved Policy  14 of the Restormel  Local Plan 2001. 2 The location of this site relies on pedestrians and cyclists using Ox Lane which is a narrow steep highway that links the site with St Mawgan village centre.  The proposed location of this development would encourage pedestrians  and cycle movement in conflict with motorised traffic giving rise to increase danger for all users and creating an unacceptable highway safety impact. As such the development is assessed  to conflict with Policies  1, 16 and 27 of the Cornwall Local Plan Strategic  Policies 2010-2030 and paragraph 108 of the National Planning Policy Framework 2019.",,REFUSAL,pdf,PA20_04177-REOUTZ_-_REFUSAL_NOTICE-5237239.pdf,Refused,2020-10-01,2020-12-31,,Minor - Dwelling
898,PA20/04205,Land North West Of Bowood Park Lanteglos Camelford Cornwall PL32 9RF,Proposed development of residential units - outline with some matters reserved (access applied for),2020-09-15,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=QAQ7NDFG0JQ00&activeTab=summary," 1 The proposed dwellings represent an extension into undeveloped,  open countryside beyond the built form of any settlements including Camelford. The site is not allocated  for residential development  in the emerging Neighbourhood  Plan and does not represent  infill, or rounding off development or development of previously developed land adjoining a settlement.  The proposal  would  be substantially reliant  on private vehicles  for transport and would  be unsustainable in transport terms. The proposal therefore  represents an unsustainable and sporadic form of residential development in the countryside which erodes  the character and appearance of the area and, in the absence of any special circumstances or overriding business  need to justify  it in this location or other material considerations  which  outweigh such harm, the proposal is contrary to Policies 1, 2(1d) 3, 5, 7, 21, 23 (1) and 27 of the Cornwall Local Plan Strategic Policies 2010 - 2030 (November  2016),  paragraph 79 of the National Planning Policy Framework 2019, and Policy 1A (Camelford  Development Boundary) of the Neighbourhood Development  Plan for Camelford  Parish  October 2020 (which is awaiting referendum nut can be given significant  weight  in decision-making). 2 In the absence of a mechanism  to secure the provision  of affordable housing, public open space, healthcare provision  and educational financial contributions to mitigate impacts, the proposal is considered to be contrary to guidance  contained within Policies 8, 13 and 28 of the Cornwall Local Plan Strategic Policies 2010 - 2030 (November  2016) and paragraph, 54 of the National Planning Policy Framework 2019.",,REFUSAL,pdf,PA20_04205-REOUTZ_-_REFUSAL_NOTICE-5366641.pdf,Refused,2020-10-01,2020-12-31,,Smallscale Major Dwellings
899,PA20/04219,Pendean Parc East Taphouse Liskeard Cornwall PL14 4NH,Certificate of lawfulness for existing use to legitimise the planning status of Pendean Park (the subject site),2020-06-05,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=QAQFVWFG0JQ00&activeTab=summary,"1 The site is subject to an enforcement notice under E2/87/07898/UCU for the cessation of the use of the land for the purposes of stationing any mobile dwelling unit, therefore the use of the land for the siting of a mobile home for residential purposes cannot be lawful.",,REFUSAL,pdf,PA20_04219-RELUZ_-_LU__EXISTING__REFUSAL_NOTICE-5336647.pdf,Refused,2020-10-01,2020-12-31,,
900,PA20/03907,Hembal Lane Farm Hembal Road Trewoon St Austell Cornwall PL25 5TD,"Outline application with some matters reserved for mixed residential development, affordable and open market",2020-06-04,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=QA6B78FGIR700&activeTab=summary," 1 Safe and suitable access  has not been demonstrated, and cannot be demonstrated for the scale of development proposed. The access and highways infrastructure in the area is considered  to be unsuitable  for the scale of vehicle movements associated with the proposal. The path/byway  over which access  is proposed is substandard  in terms of width, forward  visibility and inter-visible passing.  The access  from the A3058 onto the Green is also of substandard width.  The  proposal would risk conflict  between byway and highways users and there is insufficient land available to provide  mitigation against these  issues.   The proposal would  thereby be contrary to Policy 27 of the Cornwall Local Plan Strategic Policies 2010-2030. 2 The site is located in the open countryside and consists of a green field site bordered by hedgerows and trees that contributes towards the distinctive rural setting of the village and the character and appearance of the area when viewed from the Byway and Public Footpath.  The proposal would see the removal of a section of hedge and trees and loss of the green open space to development.  The site does not integrate well with the built up part of the settlement  with only a small proportion  of the site boundary adjoining  the Trewoon Settlement Boundary and the majority of the site adjoining agricultural  land and the byway.  The proposal would thereby cause significant harm to the landscape character of the area and be contrary  to policies  1, 2, 3, 9, 12 and 23 of the Cornwall Local Plan Strategic Policies 2010-2030 adopted 2016 and Policies  2 and 11 of the St Mewan Parish Neighbourhood Development  Plan 2016-2030 adopted 2018. 3 The application fails to comply with the habitat  directives in that there is no overriding public interest  for the proposal and there would be a disturbance to foraging and commuting  bats.  The application  is therefore  contrary to policy 23 of the Cornwall  Local Plan Strategic Policies  2010-2030 adopted  2016;   paragraphs 174 and 175 of the NPPF 2019; the Conservation of Habitat and Species Regulations; Circular 06/2005 and Policy 3 of the St Mewan Parish Neighbourhood Development  Plan 2016-2030  adopted 2018. 4 A Section  106 legal agreement  has not been entered  into to secure the necessary affordable housing, public  open space and education contributions  to mitigate harm from this proposal. The proposal would thereby be contrary to Policies 3, 9, 13 and 28 of the Cornwall Local Plan Strategic Policies 2010-2030 (adopted 2016) and the advice within  the National Planning  Policy Framework.",,REFUSAL,pdf,PA20_03907-REOUTZ_-_REFUSAL_NOTICE-5294579.pdf,Refused,2020-10-01,2020-12-31,,Smallscale Major Dwellings
901,PA20/03876,Land North West Of Highertown Chilsworthy Cornwall PL18 9PB,Redevelopment of barn to dwelling with associated works.,2020-06-16,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=QA5IZ4FG1WF00&activeTab=summary," 1 The existing building(s)/structure(s) are not considered to be suitably constructed for conversion and are considered  incapable of conversion without substantial demolition/reinforcement/rebuilding operations; and the proposed  redevelopment is therefore  considered tantamount  to the construction of a new dwelling in open countryside for which no special justification has been provided in planning terms. As such,  the proposed  redevelopment  does not accord with the provisions,  aims and intentions of Policy  7 of the Cornwall  Local Plan Strategic Policies 2010-2030 and the National Planning Policy Framework 2019, with particular reference to paragraph  79. 2 The overall  design of the proposed  redevelopment does not provide a suitable response to its landscape context and, by reason of its form, scale and materials, does not reinforce the local quality and distinctiveness of this part of the World Heritage Site, nor conserve or enhance the natural  beauty  of this part of the Tamar Valley AONB,  leading to an incongruous  and less than positive addition to the landscape. As such,  the proposed redevelopment does not accord with the provisions, aims and intentions  of Policies 24, 23, 12, 1 and 3 of the Cornwall Local Plan Strategic  Policies 2010-2030, the National  Planning Policy  Framework  2019, with particular reference to paragraphs 124, 127, 130, 170, 172, 184 and 192, Policies C2 and C7 of the Cornwall & West Devon Mining Landscape  World  Heritage Site Management  Plan 2013-2018,  and Policies 10.5.8 and 10.5.6  of the Tamar Valley Area Of Outstanding  Natural Beauty  Management Plan 2019-2024.",,REFUSAL,pdf,PA20_03876-REFULZ_-_REFUSAL_NOTICE-5274683.pdf,Refused,2020-10-01,2020-12-31,,Minor - Dwelling
